testcase,cameratype,profile,template,brightness,contrast,saturation,hue,expectedresult
defaultvalue,2mp|5mp|8mp,Profile 3,Basic,50,50,50,50,pass
brightness_default,2mp|5mp|8mp,,,50,,,,pass
brightness_min,2mp|5mp|8mp,,,0,,,,pass
brightness_max,2mp|5mp|8mp,,,100,,,,pass
brightness_set,2mp|5mp|8mp,,,75,,,,pass
brightness_negative,2mp|5mp|8mp,,,-1,,,,fail
brightness_abovemax,2mp|5mp|8mp,,,101,,,,fail
brightness_alpha,2mp|5mp|8mp,,,abc,,,,fail
brightness_special,2mp|5mp|8mp,,,@#$,,,,fail
brightness_decimal,2mp|5mp|8mp,,,5.5,,,,fail
brightness_empty,2mp|5mp|8mp,,,,,,,fail
contrast_default,2mp|5mp|8mp,,,,50,,,pass
contrast_min,2mp|5mp|8mp,,,,0,,,pass
contrast_max,2mp|5mp|8mp,,,,100,,,pass
contrast_set,2mp|5mp|8mp,,,,75,,,pass
contrast_negative,2mp|5mp|8mp,,,,-1,,,fail
contrast_abovemax,2mp|5mp|8mp,,,,101,,,fail
contrast_alpha,2mp|5mp|8mp,,,,abc,,,fail
contrast_empty,2mp|5mp|8mp,,,,,,,fail
saturation_default,2mp|5mp|8mp,,,,,50,,pass
saturation_min,2mp|5mp|8mp,,,,,0,,pass
saturation_max,2mp|5mp|8mp,,,,,100,,pass
saturation_set,2mp|5mp|8mp,,,,,75,,pass
saturation_negative,2mp|5mp|8mp,,,,,-1,,fail
saturation_abovemax,2mp|5mp|8mp,,,,,101,,fail
saturation_alpha,2mp|5mp|8mp,,,,,abc,,fail
saturation_empty,2mp|5mp|8mp,,,,,,,fail
hue_default,2mp|5mp|8mp,,,,,,50,pass
hue_min,2mp|5mp|8mp,,,,,,0,pass
hue_max,2mp|5mp|8mp,,,,,,100,pass
hue_set,2mp|5mp|8mp,,,,,,75,pass
hue_negative,2mp|5mp|8mp,,,,,,-1,fail
hue_abovemax,2mp|5mp|8mp,,,,,,101,fail
hue_alpha,2mp|5mp|8mp,,,,,,abc,fail
hue_empty,2mp|5mp|8mp,,,,,,,fail
setall_normal,2mp|5mp|8mp,,,80,60,70,40,pass
setall_min,2mp|5mp|8mp,,,0,0,0,0,pass
setall_max,2mp|5mp|8mp,,,100,100,100,100,pass
setall_default,2mp|5mp|8mp,,,50,50,50,50,pass
