testcase,cameratype,hostname,ipconfig,ipaddress,subnetmask,gateway,dns,preferreddns,alternatedns,backtooriginalip,ipfilterenable,filtertype,ipfrom,ipto,nasenable,nasname,nasip,nasuser,naspassword,nasformat,nasfolder,httpport,rtspport,httpsport,httpsstreamport,rtpport,rtcpport,portmapping,externalrtsp,multicastenable,multicastaddress,ttl,valdiationmessage
tc01_ipaddress_default,2mp|5mp|8mp,GANZ-CAMERA,Static,192.168.1.126,255.255.255.0,192.168.1.1,specified,192.168.1.1,,,,,,,,,,,,,,,,,,,,,,,,,
tc02_ipchange_static,2mp|5mp|8mp,,Static,192.168.101.214,255.255.255.0,192.168.101.1,specified,192.168.1.1,,192.168.101.213,,,,,,,,,,,,,,,,,,,,,,,
tc03_ipchange_restore,2mp|5mp|8mp,,Static,192.168.101.213,255.255.255.0,192.168.1.1,specified,192.168.1.1,,,,,,,,,,,,,,,,,,,,,,,,,
tc04_dhcp,2mp|5mp|8mp,,DHCP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tc05_dns_specified,2mp|5mp|8mp,,,,,,specified,8.8.8.8,8.8.4.4,,,,,,,,,,,,,,,,,,,,,,,,
tc06_dns_auto,2mp|5mp|8mp,,,,,,auto,,,,,,,,,,,,,,,,,,,,,,,,,,
tc07_hostname_set,2mp|5mp|8mp,MY-CAMERA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tc07_hostname_default,2mp|5mp|8mp,GANZ-CAMERA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tc08_hostname_empty,2mp|5mp|8mp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tc08_hostname_special,2mp|5mp|8mp,@#$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tc09_ip_invalid_format,2mp|5mp|8mp,,Static,999.999.999.999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tc09_ip_empty,2mp|5mp|8mp,,Static,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tc09_ip_alpha,2mp|5mp|8mp,,Static,abc.def.ghi.jkl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tc10_subnet_invalid,2mp|5mp|8mp,,Static,,255.255.255.256,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tc10_subnet_empty,2mp|5mp|8mp,,Static,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tc11_ipfilter_allow,2mp|5mp|8mp,,,,,,,,,,true,allow,192.168.1.1,192.168.1.254,,,,,,,,,,,,,,,,,,,
tc12_ipfilter_deny,2mp|5mp|8mp,,,,,,,,,,true,deny,192.168.1.100,192.168.1.200,,,,,,,,,,,,,,,,,,,
tc13_ipfilter_disable,2mp|5mp|8mp,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,
tc14_ipfilter_invalid_range,2mp|5mp|8mp,,,,,,,,,,true,allow,999.999.999.999,999.999.999.999,,,,,,,,,,,,,,,,,,,
tc15_nas_cifs,2mp|5mp|8mp,,,,,,,,,,,,,,true,NAS1,192.168.1.200,admin,Admin@123,CIFS,/nasshare,,,,,,,,,,,,Connection failed
tc16_nas_nfs,2mp|5mp|8mp,,,,,,,,,,,,,,true,NAS2,192.168.1.200,admin,Admin@123,NFS,/nasshare,,,,,,,,,,,,Connection failed
tc17_nas_disable,2mp|5mp|8mp,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,
tc18_nas_empty_ip,2mp|5mp|8mp,,,,,,,,,,,,,,true,NAS3,,admin,Admin@123,CIFS,/nasshare,,,,,,,,,,,,
tc19_nas_invalid_ip,2mp|5mp|8mp,,,,,,,,,,,,,,true,,999.999.999.999,,,CIFS,/nasshare,,,,,,,,,,,,
tc20_port_default,2mp|5mp|8mp,,,,,,,,,,,,,,,,,,,,,80,554,443,1024,5000,5001,false,554,,,,
tc21_port_changeall,2mp|5mp|8mp,,,,,,,,,,,,,,,,,,,,,7811,7822,7834,7844,7856,7857,true,7896,,,,
