testcase,cameratype,profileno,name,codec,resolution,bitratecontrol,bitrate,imagequality,fps,gop,audio,adaptivestreaming,smartstream,roi
,,,,,,,,,,,,,,
# -- PROFILE 1 : Default Values ----------------------------------------------------------,,,,,,,,,,,,,,
defaultvalueprofile1,2mp,1,Main Stream,H.264,1920x1080,VBR,4096 kbps,Highest,25,50,false,false,false,
defaultvalueprofile1,5mp,1,Main Stream,H.264,2560x1920,VBR,8192 kbps,Highest,20,40,true,false,false,
defaultvalueprofile1,8mp,1,Main Stream,H.264,3840x2160,VBR,16384 kbps,Highest,15,30,true,false,false,
,,,,,,,,,,,,,,
# -- PROFILE 1 : Set Values ---------------------------------------------------------------,,,,,,,,,,,,,,
setvalueprofile1,2mp,1,Main Stream,H.265,1280x720,CBR,2048 kbps,High,15,30,false,false,false,
setvalueprofile1,5mp,1,Main Stream,H.265,1920x1080,CBR,4096 kbps,High,15,30,false,false,false,
setvalueprofile1,8mp,1,Main Stream,H.265,2560x1440,CBR,8192 kbps,High,15,30,false,false,false,
,,,,,,,,,,,,,,
# -- PROFILE 1 : Min Values ---------------------------------------------------------------,,,,,,,,,,,,,,
minvalueprofile1,2mp,1,Main Stream,H.264,1920x1080,CBR,512 kbps,Low,1,1,false,false,false,
minvalueprofile1,5mp,1,Main Stream,H.264,2560x1920,CBR,512 kbps,Low,1,1,false,false,false,
minvalueprofile1,8mp,1,Main Stream,H.264,3840x2160,CBR,512 kbps,Low,1,1,false,false,false,
,,,,,,,,,,,,,,
# -- PROFILE 1 : Max Values ---------------------------------------------------------------,,,,,,,,,,,,,,
maxvalueprofile1,2mp,1,Main Stream,H.264,1920x1080,VBR,16384 kbps,Highest,60,100,true,false,false,
maxvalueprofile1,5mp,1,Main Stream,H.264,2560x1920,VBR,16384 kbps,Highest,60,100,true,false,false,
maxvalueprofile1,8mp,1,Main Stream,H.264,3840x2160,VBR,16384 kbps,Highest,60,100,true,false,false,
,,,,,,,,,,,,,,
# -- PROFILE 2 : Default Values ----------------------------------------------------------,,,,,,,,,,,,,,
defaultvalueprofile2,2mp,2,Sub Stream,H.264,640x480,VBR,1024 kbps,Highest,25,50,true,false,false,
defaultvalueprofile2,5mp,2,Sub Stream,H.264,1280x960,VBR,2048 kbps,Highest,20,40,true,false,false,
defaultvalueprofile2,8mp,2,Sub Stream,H.264,1920x1080,VBR,4096 kbps,Highest,15,30,true,false,false,
,,,,,,,,,,,,,,
# -- PROFILE 2 : Set Values ---------------------------------------------------------------,,,,,,,,,,,,,,
setvalueprofile2,2mp,2,Sub Stream,H.265,640x360,CBR,512 kbps,Medium,10,20,false,false,false,
setvalueprofile2,5mp,2,Sub Stream,H.265,1280x720,CBR,1024 kbps,Medium,10,20,false,false,false,
setvalueprofile2,8mp,2,Sub Stream,H.265,1920x1080,CBR,2048 kbps,Medium,10,20,false,false,false,
,,,,,,,,,,,,,,
# -- PROFILE 2 : Min Values ---------------------------------------------------------------,,,,,,,,,,,,,,
minvalueprofile2,2mp,2,Sub Stream,H.264,640x480,CBR,512 kbps,Low,1,1,false,false,false,
minvalueprofile2,5mp,2,Sub Stream,H.264,1280x960,CBR,512 kbps,Low,1,1,false,false,false,
minvalueprofile2,8mp,2,Sub Stream,H.264,1920x1080,CBR,512 kbps,Low,1,1,false,false,false,
,,,,,,,,,,,,,,
# -- PROFILE 2 : Max Values ---------------------------------------------------------------,,,,,,,,,,,,,,
maxvalueprofile2,2mp,2,Sub Stream,H.264,640x480,VBR,16384 kbps,Highest,60,100,true,false,false,
maxvalueprofile2,5mp,2,Sub Stream,H.264,1280x960,VBR,16384 kbps,Highest,60,100,true,false,false,
maxvalueprofile2,8mp,2,Sub Stream,H.264,1920x1080,VBR,16384 kbps,Highest,60,100,true,false,false,
,,,,,,,,,,,,,,
# -- PROFILE 3 : Default Values  ( no codec / bitratecontrol / imagequality / gop / adaptivestreaming / smartstream ),,,,,,,,,,,,,,
defaultvalueprofile3,2mp,3,Profile 3,,1920x1080,,4096 kbps,,25,,true,,,
defaultvalueprofile3,5mp,3,Profile 3,,2560x1920,,8192 kbps,,20,,true,,,
defaultvalueprofile3,8mp,3,Profile 3,,3840x2160,,16384 kbps,,15,,true,,,
,,,,,,,,,,,,,,
# -- PROFILE 3 : Set Values ---------------------------------------------------------------,,,,,,,,,,,,,,
setvalueprofile3,2mp,3,Profile 3,,1280x720,,2048 kbps,,15,,false,,,
setvalueprofile3,5mp,3,Profile 3,,1920x1080,,4096 kbps,,15,,false,,,
setvalueprofile3,8mp,3,Profile 3,,2560x1440,,8192 kbps,,15,,false,,,
,,,,,,,,,,,,,,
# -- PROFILE 4 : Default Values  ( has roi / no bitratecontrol / imagequality / gop / adaptivestreaming / smartstream ),,,,,,,,,,,,,,
defaultvalueprofile4,2mp,4,Profile 4,H.264,1920x1080,,4096 kbps,,25,,true,,,false
defaultvalueprofile4,5mp,4,Profile 4,H.264,2560x1920,,8192 kbps,,20,,true,,,false
defaultvalueprofile4,8mp,4,Profile 4,H.264,3840x2160,,16384 kbps,,15,,true,,,false
,,,,,,,,,,,,,,
# -- PROFILE 4 : Set Values ---------------------------------------------------------------,,,,,,,,,,,,,,
setvalueprofile4,2mp,4,Profile 4,H.265,1280x720,,2048 kbps,,15,,false,,,true
setvalueprofile4,5mp,4,Profile 4,H.265,1920x1080,,4096 kbps,,15,,false,,,true
setvalueprofile4,8mp,4,Profile 4,H.265,2560x1440,,8192 kbps,,15,,false,,,true
