testcase,cameratype,enable,templateindex,templatename,active,fromhour,frommins,tohour,tomins,entireweek,sun,mon,tue,wed,thu,fri,sat,expectedresult
tc01_defaultvalues,2mp|5mp|8mp,false,,,false,00,00,00,00,false,false,false,false,false,false,false,false,pass
tc02_enable,2mp|5mp|8mp,true,,,,,,,,,,,,,,,,pass
tc02_disable,2mp|5mp|8mp,false,,,,,,,,,,,,,,,,pass
tc03_active_enable,2mp|5mp|8mp,true,,,true,,,,,,,,,,,,,pass
tc03_active_disable,2mp|5mp|8mp,true,,,false,,,,,,,,,,,,,pass
tc04_from_min,2mp|5mp|8mp,true,,,,00,00,,,,,,,,,,,pass
tc04_from_max,2mp|5mp|8mp,true,,,,23,59,,,,,,,,,,,pass
tc04_from_set,2mp|5mp|8mp,true,,,,08,30,,,,,,,,,,,pass
tc04_from_hour_neg,2mp|5mp|8mp,true,,,,-1,00,,,,,,,,,,,fail
tc04_from_hour_above,2mp|5mp|8mp,true,,,,24,00,,,,,,,,,,,fail
tc04_from_mins_neg,2mp|5mp|8mp,true,,,,08,-1,,,,,,,,,,,fail
tc04_from_mins_above,2mp|5mp|8mp,true,,,,08,60,,,,,,,,,,,fail
tc04_from_alpha,2mp|5mp|8mp,true,,,,ab,cd,,,,,,,,,,,fail
tc05_to_min,2mp|5mp|8mp,true,,,,,,00,00,,,,,,,,,pass
tc05_to_max,2mp|5mp|8mp,true,,,true,,,23,59,,,,,,,,,pass
tc05_to_set,2mp|5mp|8mp,true,,,,,,18,00,,,,,,,,,pass
tc05_to_hour_neg,2mp|5mp|8mp,true,,,,,,-1,00,,,,,,,,,fail
tc05_to_hour_above,2mp|5mp|8mp,true,,,,,,24,00,,,,,,,,,fail
tc05_to_mins_neg,2mp|5mp|8mp,true,,,,,,18,-1,,,,,,,,,fail
tc05_to_mins_above,2mp|5mp|8mp,true,,,,,,18,60,,,,,,,,,fail
tc06_entireweek_enable,2mp|5mp|8mp,true,,,,,,,,true,true,true,true,true,true,true,true,pass
tc06_entireweek_disable,2mp|5mp|8mp,true,,,,,,,,false,,,,,,,,pass
tc07_weekdays,2mp|5mp|8mp,true,,,,,,,,,false,true,true,true,true,true,false,pass
tc07_weekend,2mp|5mp|8mp,true,,,,,,,,,true,false,false,false,false,false,true,pass
tc07_alldays,2mp|5mp|8mp,true,,,,,,,,,true,true,true,true,true,true,true,pass
tc08_select_basic,2mp|5mp|8mp,,1,Basic,,,,,,,,,,,,,,pass
tc08_select_outdoor,2mp|5mp|8mp,,2,Outdoor,,,,,,,,,,,,,,pass
tc08_select_indoor,2mp|5mp|8mp,,3,Indoor,,,,,,,,,,,,,,pass
tc08_select_day,2mp|5mp|8mp,,4,Day,,,,,,,,,,,,,,pass
tc08_select_night,2mp|5mp|8mp,,5,Night,,,,,,,,,,,,,,pass
tc09_setall_weekdays,2mp|5mp|8mp,true,,,true,08,00,18,00,false,false,true,true,true,true,true,false,pass
tc09_setall_weekend,2mp|5mp|8mp,true,,,true,10,00,20,00,false,true,false,false,false,false,false,true,pass
tc09_setall_entireweek,2mp|5mp|8mp,true,,,true,00,00,23,59,true,true,true,true,true,true,true,true,pass
